Date,Open,High,Low,Close,Adj Close,Volume
2022-03-02,37.970001,38.080002,37.150002,37.520000,23.002083,16218600
2022-03-03,37.590000,37.889999,36.709999,37.220001,22.818163,15435300
2022-03-04,37.150002,37.599998,36.290001,36.970001,22.664900,18097200
2022-03-07,37.400002,37.500000,33.759998,34.139999,20.929934,31859200
2022-03-08,34.320000,35.540001,33.540001,34.689999,21.267117,37221100
2022-03-09,34.889999,35.119999,33.930000,34.680000,21.260986,18729100
2022-03-10,36.189999,36.560001,34.799999,35.650002,21.855658,26817700
2022-03-11,35.740002,36.130001,34.599998,34.810001,21.340685,24275700
2022-03-14,34.810001,35.150002,33.730000,34.369999,21.070936,20240500
2022-03-15,33.759998,34.009998,32.740002,33.730000,20.678577,19469500
2022-03-16,33.830002,34.090000,33.169998,33.759998,20.696968,20123900
2022-03-17,34.029999,34.320000,32.000000,32.869999,20.151342,33975100
2022-03-18,32.730000,33.549999,32.630001,33.160000,20.329132,34149500
2022-03-21,33.220001,34.540001,33.169998,34.270000,21.009630,12200800
2022-03-22,34.490002,34.619999,33.630001,34.049999,20.874756,15178400
2022-03-23,34.200001,35.040001,33.930000,34.380001,21.077068,11845600
2022-03-24,34.340000,35.160000,34.049999,34.970001,21.438774,15222400
2022-03-25,34.840000,35.320000,34.490002,35.000000,21.457165,13764200
2022-03-28,34.759998,34.770000,33.650002,34.080002,20.893150,18674900
2022-03-29,34.139999,34.919998,33.900002,34.500000,21.150635,21261100
2022-03-30,34.799999,35.200001,34.450001,35.110001,21.524605,9334000
2022-03-31,34.619999,35.580002,34.590000,35.240002,21.604301,17115000
2022-04-01,35.480000,35.779999,35.029999,35.230000,21.598171,15174000
2022-04-04,34.970001,35.000000,34.369999,34.869999,21.377468,15451000
2022-04-05,34.900002,35.490002,34.770000,34.830002,21.352945,11994100
2022-04-06,34.919998,35.360001,34.509998,34.939999,21.420382,15020900
2022-04-07,35.000000,36.770000,34.959999,36.689999,22.493238,15668500
2022-04-08,36.560001,37.250000,36.389999,37.090000,22.738466,14064700
2022-04-11,36.700001,36.910000,36.369999,36.599998,22.438063,7072800
2022-04-12,37.060001,37.360001,36.490002,36.639999,22.462585,11454600
2022-04-13,37.090000,37.730000,37.009998,37.540001,23.014343,21697400
2022-04-14,34.490002,35.150002,34.110001,34.750000,23.134342,36376800
2022-04-18,34.480000,34.840000,33.959999,34.119999,22.714926,20888700
2022-04-19,34.439999,35.070000,34.349998,34.709999,23.107712,14946200
2022-04-20,34.650002,35.180000,34.389999,35.119999,23.380663,10192200
2022-04-22,34.480000,34.700001,33.209999,33.369999,22.215624,15533100
2022-04-25,32.910000,33.480000,32.419998,33.139999,22.062504,13116200
2022-04-26,33.070000,33.770000,32.939999,33.090000,22.029219,13847200
2022-04-27,33.500000,33.740002,33.020000,33.189999,22.095793,7241600
2022-04-28,33.299999,33.799999,33.299999,33.430000,22.255569,6915000
2022-04-29,34.029999,35.000000,33.439999,33.439999,22.262226,17172000
2022-05-02,33.500000,33.599998,32.150002,32.840000,21.862785,15992700
2022-05-03,33.110001,33.419998,32.709999,33.060001,22.009247,11244200
2022-05-04,33.400002,34.619999,33.040001,34.619999,23.047796,20809800
2022-05-05,34.500000,35.000000,33.349998,34.389999,22.894676,24557500
2022-05-06,35.200001,35.889999,34.340000,35.689999,23.760132,17397400
2022-05-09,35.340000,35.520000,34.119999,34.259998,22.808130,25131000
2022-05-10,34.599998,35.000000,34.150002,34.689999,23.094395,17456300
2022-05-11,35.029999,36.860001,34.970001,36.439999,24.259434,25063600
2022-05-12,36.520000,36.750000,35.700001,36.580002,24.352640,28681700
2022-05-13,36.720001,37.189999,36.599998,36.630001,24.385927,19959600
2022-05-16,36.740002,37.880001,36.610001,37.660000,25.071634,21906600
2022-05-17,38.000000,38.040001,37.180000,37.689999,25.091606,17808600
2022-05-18,37.509998,38.040001,36.540001,36.840000,24.525730,16176800
2022-05-19,36.849998,37.400002,36.459999,37.150002,24.732111,9932100
2022-05-20,37.500000,37.889999,36.959999,37.669998,25.078289,14632500
2022-05-23,37.939999,39.279999,37.830002,39.060001,26.003668,18272800
2022-05-24,34.000000,34.810001,33.720001,34.400002,25.308771,18318600
2022-05-25,34.430000,35.290001,34.099998,35.099998,25.823772,18592200
2022-05-26,35.070000,35.599998,34.950001,35.209999,25.904703,11256100
2022-05-27,35.150002,35.150002,33.650002,33.740002,24.823196,20720200
2022-05-30,34.000000,34.000000,32.049999,33.009998,24.286118,12468200
2022-05-31,33.459999,33.759998,32.910000,33.259998,24.470049,28056100
2022-06-01,33.080002,33.520000,32.980000,33.230000,24.447977,7669200
2022-06-02,33.200001,33.320000,32.750000,32.919998,24.219902,9524900
2022-06-03,32.910000,33.910000,32.680000,33.759998,24.837908,13929600
2022-06-06,33.889999,34.110001,33.380001,33.740002,24.823196,9285200
2022-06-07,33.549999,34.630001,33.549999,33.860001,24.911482,10982800
2022-06-08,33.740002,34.230000,33.560001,33.730000,24.815838,7258500
2022-06-09,33.740002,33.880001,33.220001,33.330002,24.521551,11378500
2022-06-10,33.110001,33.160000,32.360001,32.910000,24.212547,14670200
2022-06-13,32.439999,32.790001,31.709999,32.410000,23.844688,21250400
2022-06-14,32.599998,33.290001,32.369999,32.700001,24.058048,14558700
2022-06-15,33.099998,33.180000,31.950001,32.270000,23.741688,20159500
2022-06-17,31.100000,31.410000,28.840000,29.930000,22.020102,37348400
2022-06-20,28.790001,30.680000,28.570000,30.190001,22.211390,10868300
2022-06-21,30.650000,30.770000,29.639999,29.870001,21.975958,23224300
2022-06-22,29.360001,30.320000,29.040001,29.730000,21.872957,13553800
2022-06-23,29.770000,30.200001,28.799999,29.100000,21.409454,14734000
2022-06-24,29.510000,29.670000,28.830000,28.910000,21.269669,15527600
2022-06-27,29.200001,31.040001,29.200001,30.860001,22.704321,17707400
2022-06-28,31.690001,31.850000,31.090000,31.309999,23.035395,12443600
2022-06-29,31.590000,31.900000,30.730000,30.879999,22.719034,10631700
2022-06-30,30.360001,30.750000,30.110001,30.540001,22.468891,19935200
2022-07-01,30.600000,31.410000,30.000000,31.110001,22.888252,13968700
2022-07-04,31.160000,32.130001,31.120001,31.850000,23.432684,5781000
2022-07-05,31.500000,31.500000,29.840000,30.490000,22.432106,17539000
2022-07-06,30.780001,30.820000,29.280001,30.030001,22.093674,11767100
2022-07-07,30.680000,31.209999,30.610001,30.920000,22.748465,10338500
2022-07-08,31.129999,31.590000,30.959999,31.200001,22.954466,4878800
2022-07-11,30.780001,31.299999,30.620001,31.180000,22.939751,10408500
2022-07-12,30.990000,30.990000,30.370001,30.570000,22.490963,9506400
2022-07-13,30.400000,31.010000,30.320000,30.700001,22.586607,8369200
2022-07-14,30.320000,30.350000,29.570000,29.719999,21.865599,11563000
2022-07-15,29.840000,30.440001,29.730000,30.309999,22.299675,5827800
2022-07-18,30.719999,31.400000,30.719999,31.320000,23.042751,13368200
2022-07-19,31.320000,31.809999,31.040001,31.670000,23.300255,11651400
2022-07-20,31.459999,31.940001,31.440001,31.940001,23.498899,16825300
2022-07-21,31.820000,31.889999,30.600000,31.590000,23.241398,17144600
2022-07-22,31.549999,32.110001,31.450001,31.930000,23.491541,11108300
2022-07-25,32.549999,33.410000,32.340000,33.310001,24.506838,14075100
2022-07-26,33.480000,34.209999,33.369999,33.790001,24.859982,10807900
2022-07-27,34.000000,34.070000,33.200001,34.009998,25.021839,11672500
2022-07-28,34.220001,35.139999,33.919998,34.730000,25.551558,19301100
2022-07-29,36.070000,37.380001,35.450001,36.959999,27.192213,49607100
2022-08-01,36.939999,36.959999,36.099998,36.500000,26.853783,21493500
2022-08-02,36.490002,37.209999,36.320000,36.520000,26.868498,14991800
2022-08-03,36.830002,37.009998,36.279999,36.320000,26.721354,12927700
2022-08-04,36.459999,37.049999,35.849998,36.880001,27.133356,11361700
